seriesId,seriesDescription,unit
COPC_EK,Equatorial Guinea Crude Oil Production Capacity,million barrels per day
COPC_GB,Gabon Crude Oil Production Capacity,million barres per day
ZWHD_MAC,Heating Degree Days Middle Atlantic,total degree days
ZWHD_MAC_10YR,"Heating Degree Days Middle Atlantic, Prior 10-Year Average",total degree days
ELRCP_HAK,"Retail Sales of Electricity in Residential Sector, Alaska and Hawaii",billion kilowatthours
EXCCP_ESC,"Retail Sales of Electricity in Commercial Sector, East South Central",million kilowatthours per day
EOACBUS,Transportation Sector Consumption of Energy from Ethanol,Quadrillion Btu
EXRCH_ENC,"Average Residential Electricity Usage Per Customer, East North Central",kilowatthours
ELWHU_PJ,"Wholesale Electricity Price, PJM RTO Western hub",dollars per megawatthour
EXRCH_PAC,"Average Residential Electricity Usage Per Customer, Pacific Contiguous",kilowatthours
ESRCU_PAC,"Retail Price of Electricity in Residential Sector, Pacific Contiguous",cents per kilowatt hour
ESRCU_SAC,"Retail Price of Electricity in Residential Sector, South Atlantic",cents per kilowatt hour
ELRCP_SAC,"Retail Sales of Electricity in Residential Sector, South Atlantic",billion kilowatthours
ELRCP_US,"Retail Sales of Electricity in Residential Sector, U.S. Total",billion kilowatthours
ESICU_NEC,"Retail Price of Electricity in Industrial Sector, New England",cents per kilowatt hour
ESICU_PAC,"Retail Price of Electricity in Industrial Sector, Pacific Contiguous",cents per kilowatt hour
ELLOAD_PJ,"Net energy for electricity load, Mid-Atlantic (PJM)",billion kilowatthours
ELLOAD_SE,"Net energy for electricity load, Southeast (SERC)",billion kilowatthours
EXACP_PAC,"Retail Sales of Electricity in Transportation Sector, Pacific Contiguous",million kilowatthours per day
ESICU_SAC,"Retail Price of Electricity in Industrial Sector, South Atlantic",cents per kilowatt hour
EXICPUS,"Retail Sales of Electricity in Industrial Sector, U.S. Total",billion kilowatthours per day
ELLOAD_SP,"Net energy for electricity load, Central (SPP ISO)",billion kilowatthours
EMNFPUS,Non-Farm Employment,millions
EXACP_SAC,"Retail Sales of Electricity in Transportation Sector, South Atlantic",million kilowatthours per day
EXACP_US,"Retail Sales of Electricity in Transportation Sector, U.S. Total",million kilowatthours per day
ELRCP_ESC,"Retail Sales of Electricity in Residential Sector, East South Central",billion kilowatthours
ESTCU_ESC,"Retail Price of Electricity for All Sectors, East South Central",cents per kilowatt hour
EXRCH_ESC,"Average Residential Electricity Usage Per Customer, East South Central",kilowatthours
EXTCP_PAC,"Retail Sales of Electricity in All Sectors, Pacific Contiguous",million kilowatthours per day
ELICP_ENC,"Retail Sales of Electricity in Industrial Sector, East North Central",billion kilowatthours
ELACP_MAC,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic",billion kilowatthours
BMEPGEN_PJ,"Electric power sector net generation from biomass, Mid-Atlantic (PJM)",billion kilowatthours
BMEPGEN_SE,"Electric power sector net generation from biomass, Southeast (SERC)",billion kilowatthours
BMEPGEN_FL,"Electric power sector net generation from biomass, Florida (FRCC)",billion kilowatthours
BDTCPUS,Biodiesel Consumption,million barrels per day
BDTCPUS_PS,Biodiesel Product Supplied,million barrels per day
BFACBUS,Subtotal Renewable Energy Consumption: Transportation Sector,Quadrillion Btu
C4FPPUS,Butanes Production at Natural Gas Processing Plants,million barrels per day
C4NIPUS,Butanes/Butylenes Net Imports,million barrels per day
BMEPGEN_NY,"Electric power sector net generation from biomass, New York (NYISO)",billion kilowatthours
C4PSPUS,Butanes/Butylenes Inventory,"million barrels, end-of-period"
BMEPGEN_SW,"Electric power sector net generation from biomass, Southwest",billion kilowatthours
BMEPGEN_TX,"Electric power sector net generation from biomass, Texas (ERCOT)",billion kilowatthours
BMEPGEN_US,"Electric power sector net generation from biomass, United States",billion kilowatthours
BMINGEN_US,"Industrial sector net generation from biomass, United States",billion kilowatthours
BMTOGEN_US,"Net generation from biomass, all sectors, United States",billion kilowatthours
BREPUUS,Brent crude oil spot price,dollars per barrel
BTTCBUS,"Biodiesel, Renewable Diesel, and Other",Quadrillion Btu
BFLCBUS,Biofuel Losses and Co-products,Quadrillion Btu
BMEPGEN_SP,"Electric power sector net generation from biomass, Central (SPP ISO)",billion kilowatthours
BMEPGEN_NW,"Electric power sector net generation from biomass, Northwest",billion kilowatthours
BMEPGEN_NE,"Electric power sector net generation from biomass, New England (ISO-NE)",billion kilowatthours
BMEPGEN_CA,"Electric power sector net generation from biomass, California",billion kilowatthours
SNGPRMC,Shale natural gas production from Marcellus formation,billion cubic feet per day
SNGPRMP,Shale natural gas production from Mississippian formation,billion cubic feet per day
SNGPRNI,Shale natural gas production from Niobrara Codell formation,billion cubic feet per day
SOEPGEN_US,"Electric power sector net generation from utility-scale solar, United States",billion kilowatthours
SNGPRL48,Shale dry natural gas production,billion cubic feet per day
SOEPGEN_SE,"Electric power sector net generation from utility-scale solar, Southeast (SERC)",billion kilowatthours
BMCHCAP_US,Comm. and Indus. Sectors Total Biomass Net Summer Capacity,megawatts
BMCHGEN_US,"Industrial and commercial sector net generation from biomass (all types), United States",billion kilowatthours
BMEPGEN_HA,"Electric power sector net generation from biomass, Hawaii and Alaska",billion kilowatthours
BMEPGEN_MW,"Electric power sector net generation from biomass, Midwest (Midcontinent ISO)",billion kilowatthours
ABRIPUS,Aviation Gasoline Blend Components Refinery Input,million barrels per day
BDPRPUS,Biodiesel Production,million barrels per day
BDPSPUS,Biodiesel Inventory,million barrels
ARTCPUS,Asphalt and Road Oil Product Supplied,million barrels per day
BAEPCGW_US,U.S. electric power sector battery storage net summer generating capacity,gigawatts
BALIT,Natural Gas Balancing Item (Consumption - Supply),billion cubic feet per day
BDNIPUS,Biodiesel Net Imports,million barrels per day
BMCMGEN_US,"Commercial sector net generation from biomass, United States",billion kilowatthours
BMEPCAP_US,Electric Power Sector Total Biomass Net Summer Capacity,megawatts
BFPSPUS,Total Biofuels Inventories,million barrels
BFPSPUS_DRAW,Biofuel Stock Draw,million barrels per day
BFSUPPLY,Total Biofuels Supply,million barrels per day
BFTCBUS,Biofuel Total Consumption,Quadrillion Btu
CLEPCNS_NY,"Electric power sector  consumption of coal, New York (NYISO)",thousand short tons
CLEPCNS_PJ,"Electric power sector  consumption of coal, Mid-Atlantic (PJM)",thousand short tons
CLEPGEN_SE,"Electric power sector net generation from coal, Southeast (SERC)",billion kilowatthours
CLHCPUS_TON,Residential and Commercial Coal Consumption,million short tons
C3PSPP3,Propane PADD 3 (Gulf Coast) Inventory,"million barrels, end-of-period"
C3PSPP4,Propane PADD 4 (Rocky Mountain) Inventory,"million barrels, end-of-period"
CLEPCNS_SE,"Electric power sector  consumption of coal, Southeast (SERC)",thousand short tons
CLEPGEN_SP,"Electric power sector net generation from coal, Central (SPP ISO)",billion kilowatthours
CLEPGEN_SW,"Electric power sector net generation from coal, Southwest",billion kilowatthours
C3PSPP5,Propane PADD 5 (West Coast) Inventory,"million barrels, end-of-period"
C3PSPUS,Propane US Total Inventory,"million barrels, end-of-period"
CLEPCNS_SP,"Electric power sector  consumption of coal, Central (SPP ISO)",thousand short tons
CLAJPUS_TON,Coal Supply-Demand Discrepancy,million short tons
CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",billion kilowatthours
CLEPGEN_US,"Electric power sector net generation from coal, United States",billion kilowatthours
CLIMPUS_TON,Coal Gross Imports,million short tons
CLINCNS_US,"Industrial sector consumption of coal, United States",thousand short tons
CGSP_ENC,Real Gross State Product E. N. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
CLCEPUS,Commercial Sector Generation from Coal,billion kilowatthours per day
C3PSPP2,Propane PADD 2 (Midwest) Inventory,"million barrels, end-of-period"
WWEPGEN_US,"Electric power sector net generation from wood biomass, United States",billion kilowatthours
C3PSPP1,Propane PADD 1 (East Coast) Inventory,"million barrels, end-of-period"
CLEPGEN_PJ,"Electric power sector net generation from coal, Mid-Atlantic (PJM)",billion kilowatthours
BFTCPUS,Total Biofuels Consumption,million barrels per day
C3ROPUS,Propane Refinery and Blender Net Production,million barrels per day
C3TCPUS,Propane Consumption,million barrels per day
BDRIPUS,Biodiesel Net Inputs,million barrels per day
BDTCBUS,Consumption of Energy from Biomass-based Diesel by All Sectors,Quadrillion Btu
CLSD_DRAW_TON,Coal Primary Inventory Withdrawals,million short tons
CLEPGEN_NW,"Electric power sector net generation from coal, Northwest",billion kilowatthours
CLOTCON_TON,Coal Consumed in non-Power Sectors,million short tons
CLEPGEN_NY,"Electric power sector net generation from coal, New York (NYISO)",billion kilowatthours
CLEXPMC_TON,Metallurgical Coal Gross Exports,million short tons
CLPRPAR_TON,Coal Production Appalachia Region,million short tons
CLEPCNS_MW,"Electric power sector  consumption of coal, Midwest (Midcontinent ISO)",thousand short tons
CLEPSHR_US,Coal share of U.S. electricity generation,percentage
CLEPTOT,Electric Power Sector Generation from Coal,billion kilowatthours per day
CLEXPSC_TON,Steam Coal Gross Exports,million short tons
CLPRPIR_TON,Coal Production Interior Region,million short tons
CLEPCNS_NE,"Electric power sector  consumption of coal, New England (ISO-NE)",thousand short tons
CLEPCNS_NW,"Electric power sector  consumption of coal, Northwest",thousand short tons
CLEUDUS,Cost of Coal Delivered to Electric Generating Plants,dollars per million Btu
CLEXPUS_TON,Coal Gross Exports,million short tons
WWEPCONB,Electric Power Sector Consumption of Wood and Wood Waste Biomass Energy,Quadrillion Btu
WWEPCGW_US,U.S. electric power sector wood biomass net summer generating capacity,gigawatts
WNCHCAP_US,Comm. and Indus. Sectors Wind Net Summer Capacity,megawatts
NGEPCNS_NY,"Electric power sector  consumption of natural gas, New York (NYISO)",billion cubic feet
NGIMPUS_PIPE,Natural Gas Pipeline Gross Imports,billion cubic feet per day
NGINCNS_US,"Industrial sector consumption of natural gas, United States",billion cubic feet
NGEPCNS_SP,"Electric power sector  consumption of natural gas, Central (SPP ISO)",billion cubic feet
NGEPCNS_SW,"Electric power sector  consumption of natural gas, Southwest",billion cubic feet
NGINX,"Natural Gas Consumption Industrial Sector, U.S. Total",billion cubic feet per day
NGINX_ENC,"Natural Gas Consumption Industrial Sector, E. N. Central",billion cubic feet per day
NGINX_ESC,"Natural Gas Consumption Industrial Sector, E. S. Central",billion cubic feet per day
NGEPCNS_US,"Electric power sector  consumption of natural gas, United States",billion cubic feet
NGPRPUS,Natural Gas Total Dry Production,billion cubic feet per day
NGPSUPP,Total Natural Gas Supply,billion cubic feet per day
NGRCP_ENC,"Natural Gas Consumption Residential Sector, E. N. Central",billion cubic feet per day
NGCCP_PAC,"Natural Gas Consumption Commercial Sector, Pacific",billion cubic feet per day
NGCCP_SAC,"Natural Gas Consumption Commercial Sector, S. Atlantic",billion cubic feet per day
NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",billion cubic feet
NGINGEN_US,"Industrial sector net generation from natural gas, United States",billion kilowatthours
NGNWRHA,"Haynesville New-wells Gas Production Per Rig, One-year Trend",million cubic feet per day
NGNWRPM,"Permian New-wells Gas Production Per Rig, One-year Trend",million cubic feet per day
NGNWRR48,"Rest of Lower 48 States, excluding GOM New-wells Gas Production Per Rig, One-year Trend",million cubic feet per day
NGEPCNS_NW,"Electric power sector  consumption of natural gas, Northwest",billion cubic feet
NGCCP_MAC,"Natural Gas Consumption Commercial Sector, Middle Atlantic",billion cubic feet per day
PAROPUS,Total Refinery Output,million barrels per day
PRPSPP2,Propane/Propylene PADD 2 (Midwest) Inventory,"million barrels, end-of-period"
PROD_DRAW,Petroleum Product Net Inventory Withdrawals,million barrels per day
QSIC_NG,Natural Gas-weighted Industrial Production Index,"Index, 2017=100"
PRPSPP4,Propane/Propylene PADD 4 (Rocky Mountain) Inventory,"million barrels, end-of-period"
RACPUUS,Refiner Average Crude Oil Acquisition Cost,dollars per barrel
RACPUUS_$,Refiner Average Crude Oil Acquisition Cost,dollars per gallon
RDNIPUS,Renwable Diesel Net Imports,million barrels per day
RFNIPUS,Residual Fuel Oil Net Imports,million barrels per day
RDPRPUS,Renewable Diesel Production,million barrels per day
RFPS_EP,"Residual Fuel Oil Stocks, Electric Power Sector","million barrels, end-of-period"
PATCCO2,Carbon Dioxide Emissions from Petroleum and Other Liquid Fuels,million metric tons
PATCPUSX,Total Petroleum and Other Liquids Product Supplied,million barrels per day
PRPSPP5,Propane/Propylene PADD 5 (West Coast) Inventory,"million barrels, end-of-period"
PRPSPUS,Propane/Propylene Oil U.S. Total Inventory,"million barrels, end-of-period"
PRRCAP1,Retail PADD 1,dollars per gallon
QSIC_NG_PCT,Natural Gas-weighted Industrial Production Index,Percent change from prior year
RFEUDUS,Cost of Residual Fuel Oil Delivered to Electric Generating Plants,dollars per million Btu
PASUPPLY,Total Petroleum Product Supply,million barrels per day
PASXPUS,Total End-of-period Commercial Crude Oil and Other Liquids Inventory,"million barrels, end-of-period"
PRPSPP1,Propane/Propylene PADD 1 (East Coast) Inventory,"million barrels, end-of-period"
PRPSPP3,Propane/Propylene PADD 3 (Gulf Coast) Inventory,"million barrels, end-of-period"
CLEPCNS_SW,"Electric power sector  consumption of coal, Southwest",thousand short tons
NGCCP_MTN,"Natural Gas Consumption Commercial Sector, Mountain",billion cubic feet per day
NGEPCNS_PJ,"Electric power sector  consumption of natural gas, Mid-Atlantic (PJM)",billion cubic feet
RDRIPUS,Renewable Diesel Net Inputs,million barrels per day
RFPSPUS,Residual Fuel Oil Inventory,"million barrels, end-of-period"
SOEPGEN_SP,"Electric power sector net generation from utility-scale solar, Central (SPP ISO)",billion kilowatthours
SOEPGEN_SW,"Electric power sector net generation from utility-scale solar, Southwest",billion kilowatthours
SOEPGEN_TX,"Electric power sector net generation from utility-scale solar, Texas (ERCOT)",billion kilowatthours
UOTCPUS,Unfinished Oils Product Supplied,million barrels per day
SOEPTOT,Electric Power Sector Generation from Large-Scale Solar,billion kilowatthours per day
WNCHCGW_US,U.S. commercial and industrial sectors wind net summer generating capacity,gigawatts
WNCHGEN_US,"Industrial and commercial sector net generation from wind, United States",billion kilowatthours
SOINGEN_US,"Industrial sector net generation from utility-scale solar, United States",billion kilowatthours
SORCBUS,Residential Sector Consumption of Solar Energy,Quadrillion Btu
WNCMGEN_US,"Commercial sector net generation from wind, United States",billion kilowatthours
XXEPGEN_NW,"Electric power sector net generation from other energy sources, Northwest",billion kilowatthours
XXEPGEN_NY,"Electric power sector net generation from other energy sources, New York (NYISO)",billion kilowatthours
XXEPGEN_PJ,"Electric power sector net generation from other energy sources, Mid-Atlantic (PJM)",billion kilowatthours
SNGPRPM,Shale natural gas production from Permian formations,billion cubic feet per day
SNGPRR48,Shale natural gas production from other U.S. formations,billion cubic feet per day
SNGPRUA,Shale natural gas production from Utica formation,billion cubic feet per day
SOICBUS,Industrial Sector Consumption of Solar Energy,Quadrillion Btu
RDPSPUS,Renewable Diesel Inventory,million barrels
NGCCP_NEC,"Natural Gas Consumption Commercial Sector, New England",billion cubic feet per day
RFTCUUS_$,No. 6 Residual Fuel Oil Price,dollars per gallon
REACBUS,Transportation Sector Total Consumption of Renewable Energy,Quadrillion Btu
NGEPCNS_SE,"Electric power sector  consumption of natural gas, Southeast (SERC)",billion cubic feet
NGEPCNS_NE,"Electric power sector  consumption of natural gas, New England (ISO-NE)",billion cubic feet
RFROPUS,Residual Fuel Refinery Output,million barrels per day
RFTCPUS,Residual Fuel Oil Product Supplied,million barrels per day
PATOGEN_US,"Net generation from petroleum, all sectors, United States",billion kilowatthours
PCCEPUS,Commercial Sector Generation from Petroleum Coke,billion kilowatthours per day
RIGSBK,Bakken Active Rigs,
RIGSEF,Eagle Ford Active Rigs,
PCCOPUS,Industrial Sector Generation from Petroleum Coke,billion kilowatthours per day
PRRCAP2,Retail PADD 2,dollars per gallon
PRRCAP3,Retail PADD 3,dollars per gallon
PRRCAP4,Retail PADD 4,dollars per gallon
RECCBUS,Commercial Sector Total Consumption of Renewable Energy,Quadrillion Btu
REECBUS,Electric Power Sector Total Consumption of Renewable Energy,Quadrillion Btu
REICBUS,Industrial Sector Total Consumption of Renewable Energy,Quadrillion Btu
RIGSAP,Appalachia Active Rigs,
PATOPUS,Generation from Petroleum by All Sectors,billion kilowatthours per day
RDTCPUS,Renewable Diesel Consumption,million barrels per day
RDTCPUS_PS,Renewable Diesel Product Supplied,million barrels per day
RFTCUUS,No. 6 Residual Fuel Oil Price,cents per gallon
CLINGEN_US,"Industrial sector net generation from coal, United States",billion kilowatthours
CGSP_ESC,Real Gross State Product E. S. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
CGSP_MAC,Real Gross State Product Middle Atlantic,billion chained 2017 dollars (seasonally-adjusted annual rate)
CLTSPUS_TON,Total Coal Supply,million short tons
CONWEF,"Eagle Ford New-wells Oil Production, One-year Trend",thousand barrels per day
CONWHA,"Haynesville New-wells Oil Production, One-year Trend",thousand barrels per day
DFPSPP4,Distillate Fuel Oil PADD 4 (Rocky Mountain) Inventory,"million barrels, end-of-period"
DFPSPP5,Distillate Fuel Oil PADD 5 (West Coast) Inventory,"million barrels, end-of-period"
CLWCPUS_TON,Waste Coal Production,million short tons
CONWPM,"Permian New-wells Oil Production, One-year Trend",thousand barrels per day
CONWR48,"Rest of Lower 48 States, excluding GOM New-wells Oil Production, One-year Trend",thousand barrels per day
DFPSPUS,Distillate Fuel Oil U.S. Total Inventory,"million barrels, end-of-period"
DFROPUS,Distillate Fuel Refinery Output,million barrels per day
DKEPTOT,Electric Power Sector Generation from Distillate Fuel Oil,billion kilowatthours per day
DKEUDUS,Cost of Distillate Fuel Oil Delivered to Electric Generating Plants,dollars per million Btu
CLYCPUS_TON,Other Industrial Coal Consumption,million short tons
CYRPIC_WNC,Real Personal Income W. N. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
CYRPIC_WSC,Real Personal Income W. S. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
MGRARP2_$,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 2 (Midwest)",dollars per gallon
ELACTWH,"Retail Sales of Electricity in Transportation Sector, U.S. Total",billion kilowatthours
ELCCP_ENC,"Retail Sales of Electricity in Commercial Sector, East North Central",billion kilowatthours
ELCUS_SAC,"Number of Residential Customers, South Atlantic",thousand customers
CONWBK,"Bakken New-wells Oil Production, One-year Trend",thousand barrels per day
ELCUS_US,"Number of Residential Customers, United States",thousand customers
CONWAP,"Appalachia New-wells Oil Production, One-year Trend",thousand barrels per day
DKCOPUS,Industrial Sector Generation from Distillate Fuel Oil,billion kilowatthours per day
COEOPBK,"Bakken Existing Oil Production Change, One-year Trend",thousand barrels per day
COPRBK,Crude Oil Production: Bakken,million barrels per day
COPREF,Crude Oil Production: Eagle Ford,million barrels per day
CYRPIC_SAC,Real Personal Income S. Atlantic,billion chained 2017 dollars (seasonally-adjusted annual rate)
DFPSPP1,Distillate Fuel Oil PADD 1 (East Coast) Inventory,"million barrels, end-of-period"
COEOPEF,"Eagle Ford Existing Oil Production Change, One-year Trend",thousand barrels per day
COEOPHA,"Haynesville Existing Oil Production Change, One-year Trend",thousand barrels per day
COPRHA,Crude Oil Production: Haynesville,million barrels per day
COPRPM,Crude Oil Production: Permian,million barrels per day
COEOPPM,"Permian Existing Oil Production Change, One-year Trend",thousand barrels per day
DFPSPP2,Distillate Fuel Oil PADD 2 (Midwest) Inventory,"million barrels, end-of-period"
DFPSPP3,Distillate Fuel Oil PADD 3 (Gulf Coast) Inventory,"million barrels, end-of-period"
CLSTPUS,Coal Secondary Inventories,"million short tons, end-of-period"
COEOPR48,"Rest of Lower 48 States, excluding GOM Existing Oil Production Change, One-year Trend",thousand barrels per day
DKCEPUS,Commercial Sector Generation from Distillate Fuel Oil,billion kilowatthours per day
CLTCPUS_TON,Total Coal Consumption ,million short tons
CLTOGEN_US,"Net generation from coal, all sectors, United States",billion kilowatthours
CONIPUS,Crude Oil Net Imports,million barrels per day
CONSRUS,Real Personal Consumption Expenditures,billion chained 2017 dollars (seasonally-adjusted annual rate)
CLTOPUS,Generation from Coal by All Sectors,billion kilowatthours per day
COEOPAP,"Appalachia Existing Oil Production Change, One-year Trend",thousand barrels per day
HPEPCGW_US,U.S. electric power sector pumped-storage hydropower net summer generating capacity,gigawatts
MGRARP3_$,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 3 (Gulf Coast)",dollars per gallon
HVICBUS,Industrial Sector Consumption of Conventional Hydroelectric Energy,Quadrillion Btu
HVINGEN_US,"Industrial sector net generation from conventional hydropower, United States",billion kilowatthours
EXTCP_WSC,"Retail Sales of Electricity in All Sectors, West South Central",million kilowatthours per day
EXTCPUS,"Retail Sales of Electricity in All Sectors, U.S. Total",billion kilowatthours per day
ELACP_WSC,"Retail Sales of Electricity in Transportation Sector, West South Central",billion kilowatthours
EE_WSC,Total Non-Farm Employment W. S. Central,millions
ELCCP_US,"Retail Sales of Electricity in Commercial Sector, U.S. Total",billion kilowatthours
ELCCP_WNC,"Retail Sales of Electricity in Commercial Sector, West North Central",billion kilowatthours
HVTOPUS,Generation from Conventional Hydropower by All Sectors,billion kilowatthours per day
FETCPUS,Petrochemical Feedstocks Product Supplied,million barrels per day
HPEPGEN_CA,"Electric power sector net generation from pumped storage hydropower, California",billion kilowatthours
HPEPGEN_FL,"Electric power sector net generation from pumped storage hydropower, Florida (FRCC)",billion kilowatthours
ELACP_ENC,"Retail Sales of Electricity in Transportation Sector, East North Central",billion kilowatthours
ELACP_ESC,"Retail Sales of Electricity in Transportation Sector, East South Central",billion kilowatthours
ELCCP_WSC,"Retail Sales of Electricity in Commercial Sector, West South Central",billion kilowatthours
ELCCTWH,"Retail Sales of Electricity in Commercial Sector, U.S. Total",billion kilowatthours
EXTCP_NEC,"Retail Sales of Electricity in All Sectors, New England",million kilowatthours per day
HPEPGEN_HA,"Electric power sector net generation from pumped storage hydropower, Hawaii and Alaska",billion kilowatthours
ELACP_HAK,"Retail Sales of Electricity in Transportation Sector, Alaska and Hawaii",billion kilowatthours
ELCCP_SAC,"Retail Sales of Electricity in Commercial Sector, South Atlantic",billion kilowatthours
MGRARP3,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 3 (Gulf Coast)",cents per gallon
ELCCP_PAC,"Retail Sales of Electricity in Commercial Sector, Pacific Contiguous",billion kilowatthours
HVEPTOT,Electric Power Sector Generation from Conventional Hydroelectric,billion kilowatthours per day
GDPDIUS_PCT,GDP Implicit Price Deflator,Percent change from prior year
ELCCP_ESC,"Retail Sales of Electricity in Commercial Sector, East South Central",billion kilowatthours
ELCCP_HAK,"Retail Sales of Electricity in Commercial Sector, Alaska and Hawaii",billion kilowatthours
ELCUS_WNC,"Number of Residential Customers, West North Central",thousand customers
ELCUS_WSC,"Number of Residential Customers, West South Central",thousand customers
INEOTWH,"Total Net Generation of Electricity from Large-Scale Power Plants, Industrial Sector, United States",billion kilowatthours
IPMFG_ENC,"Industrial Output, Manufacturing, E. N. Central","Index, 2017=100"
GDPQXUS,Real Gross Domestic Product,billion chained 2017 dollars (seasonally-adjusted annual rate)
GDPQXUS_PCT,Real Gross Domestic Product,Percent change from prior year
ELCCP_MAC,"Retail Sales of Electricity in Commercial Sector, Middle Atlantic",billion kilowatthours
ELDUPUS,Direct Use of Electricity by Commercial and Industrial Facilities,billion kilowatthours per day
ELDUTWH,Total Direct Use of Electricity in United States,billion kilowatthours
IPMFG_ESC,"Industrial Output, Manufacturing, E. S. Central","Index, 2017=100"
MGFPPUSX,Finished Motor Gasoline Adjustment,million barrels per day
HPEPGEN_PJ,"Electric power sector net generation from pumped storage hydropower, Mid-Atlantic (PJM)",billion kilowatthours
HPEPGEN_SE,"Electric power sector net generation from pumped storage hydropower, Southeast (SERC)",billion kilowatthours
ELCCP_MTN,"Retail Sales of Electricity in Commercial Sector, Mountain",billion kilowatthours
ELCCP_NEC,"Retail Sales of Electricity in Commercial Sector, New England",billion kilowatthours
ELEXPUS,Gross Exports of Electricity from the United States,billion kilowatthours per day
ELACP_WNC,"Retail Sales of Electricity in Transportation Sector, West North Central",billion kilowatthours
NGRCU_WSC,"Retail Price of Natural Gas in Residential Sector, W. S. Central",dollars per thousand cubic feet
CYRPIC_PAC,Real Personal Income Pacific,billion chained 2017 dollars (seasonally-adjusted annual rate)
COPRAP,Crude Oil Production: Appalachia,million barrels per day
CLKCPUS_TON,Coke Plants Coal Consumption,million short tons
CLST_DRAW_TON,Coal Secondary Inventory Withdrawals,million short tons
CGSP_SAC,Real Gross State Product S. Atlantic,billion chained 2017 dollars (seasonally-adjusted annual rate)
CGSP_WNC,Real Gross State Product W. N. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
CLEPCNS_CA,"Electric power sector  consumption of coal, California",thousand short tons
CLEPCNS_FL,"Electric power sector  consumption of coal, Florida (FRCC)",thousand short tons
CLMRHUS,Coal Miner Productivity,tons per hour
CLNIPUS_TON,Coal Net Imports,million short tons
C4RIPUS,Butanes Refinery and Blender Net Inputs,million barrels per day
C4ROPUS,Butanes/Butylenes Refinery and Blender Net Production,million barrels per day
CLEPCNS_HA,"Electric power sector  consumption of coal, Hawaii and Alaska",thousand short tons
CLEPGEN_HA,"Electric power sector net generation from coal, Hawaii and Alaska",billion kilowatthours
CLNSPUS_TON,Total Primary Coal Supply,million short tons
CLPS_TOT,Coal Total Inventories,"million short tons, end-of-period"
C4TCPUS,Butanes/Butylenes Product Supplied,million barrels per day
CLEPGEN_MW,"Electric power sector net generation from coal, Midwest (Midcontinent ISO)",billion kilowatthours
CLEPGEN_NE,"Electric power sector net generation from coal, New England (ISO-NE)",billion kilowatthours
D2RCAUS,"Heating Oil Retail Price Including Taxes, U.S. Average",cents per gallon
D2WHUUS,Heating Oil Refiner Wholesale Price,cents per gallon
CLEPCGW_US,U.S. electric power sector coal net summer generating capacity,gigawatts
DFTCPUS,Distillate Fuel Oil Product Supplied,million barrels per day
CGSP_PAC,Real Gross State Product Pacific,billion chained 2017 dollars (seasonally-adjusted annual rate)
CLSOPUS,Coal Secondary Inventories Retail and General Industry,"million short tons, end-of-period"
CGSP_WSC,Real Gross State Product W. S. Central,billion chained 2017 dollars (seasonally-adjusted annual rate)
CLEPCNS_TX,"Electric power sector  consumption of coal, Texas (ERCOT)",thousand short tons
CLEPCNS_US,"Electric power sector  consumption of coal, United States",thousand short tons
CLPRPWR_TON,Coal Production Western Region,million short tons
CLPS_EP,Coal Secondary Inventories Electric Power Sector,"million short tons, end-of-period"
CHEOPUS,Comm. and Indus. Sectors Total Generation,billion kilowatthours per day
CHEOTWH,"Total Net Generation of Electricity from Large-Scale Power Plants, Commercial and Industrial Sectors, United States",billion kilowatthours
CLCHCGW_US,U.S. commercial and industrial sectors coal net summer generating capacity,gigawatts
CLSDPUS,Coal Primary Inventories,"million short tons, end-of-period"
CICPIUS,Consumer Price Index (all urban consumers),"Index, 1982-1984=1.00"
CLCMCNS_US,"Commercial sector consumption of coal, United States",thousand short tons
CLCMGEN_US,"Commercial sector net generation from coal, United States",billion kilowatthours
CLEPCON_TON,Electric Power Sector Coal Consumption,million short tons
CLSHPUS,Coal Secondary Inventories Commercial and Institutional,"million short tons, end-of-period"
CLSKPUS,Coal Secondary Inventories Coke Plants,"million short tons, end-of-period"
CGSP_MTN,Real Gross State Product Mountain,billion chained 2017 dollars (seasonally-adjusted annual rate)
CLCOPUS,Industrial Sector Generation from Coal,billion kilowatthours per day
CLEPGEN_CA,"Electric power sector net generation from coal, California",billion kilowatthours
CLEPGEN_FL,"Electric power sector net generation from coal, Florida (FRCC)",billion kilowatthours
CGSP_NEC,Real Gross State Product New England,billion chained 2017 dollars (seasonally-adjusted annual rate)
CYRPIC_NEC,Real Personal Income New England,billion chained 2017 dollars (seasonally-adjusted annual rate)
DFTCPUS_P,Petroleum-based Diesel Consumption,million barrels per day
CLZCPUS_TON,Retail and Other Industry Coal Consumption,million short tons
CONWRPM,"Permian New-wells Oil Production Per Rig, One-year Trend",thousand barrels per day
